stock_name,MAE,MSE,R2
AAL,1.150287389755249,2.0772902965545654,0.7696746587753296
AAPL,55.50819778442383,6955.93505859375,-1.7473649978637695
ABBV,6.578104496002197,61.14070129394531,0.09904128313064575
AMD,30.121387481689453,1733.1595458984375,-0.18052077293395996
AMGN,56.365726470947266,3934.2822265625,-4.054116725921631
AMZN,71.43103790283203,34106.9453125,0.9200233221054077
BABA,10.062952995300293,143.15521240234375,-0.1469484567642212
BHP,4.329683303833008,28.03279685974121,0.5490769147872925
BIDU,7.744710445404053,90.11428833007812,0.829960823059082
BIIB,18.287616729736328,454.802978515625,0.6998022198677063
CAT,81.99806213378906,12802.3017578125,-3.242955207824707
CMCSA,6.579782962799072,91.19842529296875,-0.8598153591156006
CMG,362.5954895019531,184827.78125,-2.3762800693511963
COP,13.793149948120117,523.6593017578125,0.2583703398704529
COST,227.5118865966797,68276.640625,-3.890578269958496
CRM,16.32297134399414,452.40997314453125,0.7342742681503296
CVX,12.436185836791992,341.3155517578125,0.49720901250839233
C,6.222853660583496,58.15775680541992,0.5486969947814941
DAL,1.7634726762771606,4.725392818450928,0.7742965221405029
DIS,35.409725189208984,2255.286865234375,-2.2360970973968506
EBAY,14.149983406066895,330.1474914550781,-2.0863425731658936
GE,14.906248092651367,923.5032348632812,0.05237489938735962
GILD,3.39762020111084,17.68553352355957,0.6855292320251465
GLD,5.330243110656738,45.73627471923828,0.34634989500045776
GOOG,122.42890930175781,15332.908203125,-52.177581787109375
GSK,1.4977567195892334,3.5648512840270996,0.7062395811080933
INTC,7.868861675262451,85.4369125366211,0.14960908889770508
KO,8.863970756530762,132.42547607421875,-1.4474873542785645
MRK,5.082766532897949,67.65440368652344,0.7457457780838013
MSFT,141.7535858154297,26832.84375,-3.5658750534057617
MU,5.40059757232666,45.992374420166016,0.8099297285079956
NKE,43.270896911621094,2708.7138671875,-2.1200618743896484
NVDA,151.78294372558594,34294.89453125,-2.0606088638305664
ORCL,32.8594970703125,1869.6199951171875,-3.5535635948181152
PEP,57.315120697021484,4995.89404296875,-6.096346378326416
PYPL,10.783985137939453,132.55885314941406,-0.6643688678741455
QCOM,42.25521469116211,2621.689208984375,-2.0123398303985596
QQQ,114.0517578125,14856.8232421875,-7.852849006652832
SBUX,4.835693836212158,46.34151840209961,0.42878156900405884
TGT,63.28410720825195,8171.55517578125,-1.3212189674377441
TM,17.339319229125977,649.8364868164062,-0.3860018253326416
TSLA,24.281383514404297,910.2032470703125,0.6875230073928833
TSM,43.54964065551758,2345.632568359375,-4.111783981323242
T,4.16938591003418,19.892072677612305,0.64100182056427
USO,74.9421157836914,5824.98876953125,-53.82632827758789
V,9.174310684204102,124.25104522705078,0.48529040813446045
WFC,4.289992809295654,26.407516479492188,0.6847226619720459
WMT,68.72120666503906,7420.83837890625,-7.871161460876465
XLF,6.554646968841553,54.37791442871094,-1.5363726615905762
